Veriler_Duyurular
"{'baslık': 'Özdemir Bayraktar Milli Teknoloji Burs Programı', 'icerik': ""Türkiye Teknoloji Takımı Vakfı tarafından hayata geçirilen Özdemir Bayraktar Milli Teknoloji Burs Programı başvuruları başladı.  81 ilimizdeki üniversitelerde eğitim gören lisans, lisansüstü ve doktora programlarındaki öğrenciler başvuru yapabilirler. Burs kapsamında 720 öğrenciye 10 ay boyunca 3 bin TL burs desteği sağlanacaktır.  26 Ekim 2023 Tarihinde Saat 13.00'de ..."", 'tarih': 'Cum Eki 20'}"
"{'baslık': '(Güncelleme: 16.10.2023) 2023-2024 Güz Dönemi Haftalık Ders Programı', 'icerik': 'I.Öğretim II. Öğretim UOLP', 'tarih': 'Cum Eki 13'}"
"{'baslık': 'AZAMİ ÖĞRENİM SÜRESİ SONUNDA UYGULAMA HAKKI TALEP EDEN ÖĞRENCİLERİN DİKKATİNE', 'icerik': 'Azami öğrenim süresini tamamlayarak bölümümüze dilekçe ile başvuru yapan ve uygulama hakkı talep eden öğrencilerimizin listesi aşağıda verilmiştir. Yönetmelik gereği bu öğrencilere uygulama talepleri doğrultusunda 2 yarıyıl ek süre verilecektir. Bu 2 yarıyıllık ek süre içerisinde sadece bitirme projesi, mesleki uygulama 1 ve 2, iş yeri eğitimi gibi sınavı yapılmayan uygulama ...', 'tarih': 'Paz Eki 8'}"
"{'baslık': 'SEKTÖR KAMPÜSTE DERSLERİ HK. (Güncelleme)', 'icerik': 'YMH339 MAKİNE ÖĞRENİMİ VE UYGULAMALARI ve YMH337 BİLGİ AĞLARI dersleri sektör kampüste programı kapsamında aşağıdaki yardım dosyasından ayrıntılarına ulaşabileceğiniz çevrimiçi platform üzerinden verilecektir. Platforma giriş bilgileri olarak kullanıcı adı olarak ""öğrenci numarası"" ve geçici şifre olarak da ""öğrenci numarası"" bilgileriniz tanımlanacaktır. Ayrıca ...', 'tarih': 'Per Eki 5'}"
"{'baslık': 'Tek Ders Sınav Tarihi Hk.', 'icerik': 'Tek Ders Sınavı 06.10.2023 15.00 da  A305 te yapılacaktır.', 'tarih': 'Per Eki 5'}"
"{'baslık': 'Tek Ders Sınavı Hk.', 'icerik': 'Tek ders sınavına girecek öğrenciler dilekçelerini 4 Ekim 2023 saat 17.00 a kadar bölüm sekreterliğine teslim etmeleri gerekmektedir', 'tarih': 'Pts Eki 2'}"
"{'baslık': '2 Ekim 2023 Tarihinde İşyeri Eğitimine Gidecek Öğrencilerimizin Dikkatine', 'icerik': '2 Ekim 2023 Tarihinde İşyeri Eğitimine Gidecek öğrenciler Ferdi Kaza Sigorta Poliçelerini  kendilerine en yakın SGK İl ve İlçe Müdürlüklerinden veya e devletten alabilirler.', 'tarih': 'Pts Eki 2'}"
"{'baslık': 'DERS KAYITLARI HAKKINDA', 'icerik': 'Detaylar için tıklayınız NOT : Ders kayıt esnasında sorun yaşıyorsanız ve danışman hocanızla iletişime geçiniz.  ', 'tarih': 'Cum Eyl 22'}"
"{'baslık': 'Öğrencilerimizin ve Danışmanlarımızın Dikkatine !!!!', 'icerik': 'Öğrencilerimizin sektörü daha yakından tanıması ve entegre olabilmeleri için bu dönemden başlayarak Bölümümüz 3. Sınıf Güz Dönemi seçmeli dersler müfredatına iki adet Kampüs-Sektör Seçmeli dersi eklenmiştir. Bu dersler YMH 337 Bilgi Ağları - Turkcell ve YMH 339 Makine Öğrenmesi ve Uygulamaları - Architect Dersleridir. Öncelikle yeni derslerimizin ...', 'tarih': 'Cum Eyl 22'}"
"{'baslık': '2022-2023 EK SINAV-II PROGRAMI', 'icerik': '2022-2023 EK SINAV-II PROGRAMI', 'tarih': 'Çar Eyl 20'}"
"{'baslık': 'İşyeri Eğitimi Hk. (Güncellendi 19/09/2023)', 'icerik': 'İşyeri eğitimi yapacak öğrencilerimiz başvuru belgelerini 27.09.2023 saat 17:00 ye kadar tamamlayıp bölüm sekreterliğine elden teslim etmelidir. Yeni dönemle birlikte artık öğrencilerin mail yolu ile gönderdikleri istek ve talepler dikkate alınmayacak, dikekçeler elden bölüm sekreterliğine ıslak imzalı bir şekilde teslim edilecektir. İşyeri Eğitimi İş Akışı Başvuru belgeleri İşyeri Eğitimi ...', 'tarih': 'Sal Eyl 19'}"
